序号,时间,日龄(天),目标(℃),阶段,需求(m3/h),实际(m3/h),舍内(℃),舍外(℃),舍内湿度(%),温度1,温度2,温度3,温度4,变速1,变速2,变速3,变速4,变速5,定速1,定速2,定速3,定速4,定速5,定速6,定速7,加热器1,加热器2,屋顶小窗1,滑帘1,报警器
1,2025/11/8 10:50,97,23.1,1,10100,25200,23,2.2,60,21.9,23.4,23.8,2.2,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,25,0,OFF
2,2025/11/8 10:40,97,23.1,1,10201,25200,23.5,2.6,60,22.3,23.7,24.6,2.6,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
3,2025/11/8 10:30,97,23.1,1,10100,25200,23,2.5,60,22.3,23,23.7,2.5,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
4,2025/11/8 10:20,97,23.1,1,10100,25200,22.6,2.2,60,22,22.2,23.6,2.2,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,25,0,OFF
5,2025/11/8 10:10,97,23.1,1,10201,25200,23.5,2.1,60,22.5,23.5,24.6,2.1,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
6,2025/11/8 10:00,97,23.1,1,10100,25200,23,2.1,59,22.6,23.3,23.2,2.1,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
7,2025/11/8 09:50,97,23.1,1,10100,25200,23.7,1.8,56,22.9,24,24.2,1.8,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
8,2025/11/8 09:40,97,23.1,1,10100,25200,23.3,1.8,55,22.5,23.7,23.8,1.8,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
9,2025/11/8 09:30,97,23.1,1,10100,25200,22.5,1.6,56,21.9,23,22.7,1.6,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,25,0,OFF
10,2025/11/8 09:20,97,23.1,1,10100,25200,23.2,1.3,55,22.3,23.8,23.7,1.3,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,25,0,OFF
11,2025/11/8 09:10,97,23.1,1,10100,25200,23.1,1.1,53,22.4,23.7,23.3,1.1,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,25,0,OFF
12,2025/11/8 09:00,97,23.1,1,10100,25200,22.5,0.7,54,21.8,23.2,22.7,0.7,80,80,80,80,80,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,25,0,OFF
